DATA_CRIACAO,ID AUTOMÁTICO,CUSTOMER,TOP 10,VENDEDOR,COUNTRY,PROVINCE,PRODUCT,SOLUTION/BID,MKT QTY,LVK QTY,BID DATE,DATA DE FECHAMENTO,INCORTERM,"NET PRICE
  (USD)",TOTAL NET (USD),TOTAL NET HX (USD),TX DOLAR, TOTAL NET (R$) ,TOTAL NET LVK (R$),ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,MOTIVO PERDA,OBSERVAÇÕES,DATA DA ULTIMA ATUALIZAÇÃO,STATUS_DADOS,ID_OPORTUNIDADE,ALERTA AUTOMÁTICO
12/05/2026,OPP-Cam-0426-002,CAMPO BELO 1 (RV TRANS),7,Bruno Reis,Brasil,São Paulo,320KW DC Dual,SP TRANS,4,4,17/11/2026,20/10/2026,CIF,"$97.400,00","$389.600,00","$389.600,00",5," R$  1.948.000,00 ","R$ 1.948.000,00", Negociação ,Parado,Baixo,100%,Aguardar a conclusão do projeto de alta tensão,,,15/07/2026,,,
12/05/2026,OPP-CAM-0526-003,CAMPO BELO 2 (RV TRANS),8,Bruno Reis,Brasil,São Paulo,320KW DC Dual,SP TRANS,4,4,17/11/2026,20/10/2026,CIF,"$97.400,00","$389.600,00","$389.600,00",5," R$  1.948.000,00 ","R$ 1.948.000,00", Negociação ,Parado,Baixo,100%,Pararam as negociações de Bess e vai para alta tensão,,,15/07/2026,,,
03/04/2026,OPP-PRE-0426-004,PREFEITURA DE BELO HORIZONTE,,Bruno Reis,Brasil,Minas Gerais,160kW DC Dual,Transporte Público,27,27,04/05/2026,04/05/2026,CIF,"$10.000,00","$3.003.298,68","$0,00",5, R$  -   ,"R$ 14.971.578,66", Perdido , Perdido ,Baixo,0%,Temos recurso para o dia 16/06,Concorrência,,15/07/2026,,,
03/04/2026,OPP-Alf-0426-004,ALFARODOBUS,5,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,16,16,30/06/2026,22/06/2026,CIF,"$45.000,00","$720.000,00","$360.000,00",5," R$  1.800.000,00 ","R$ 3.600.000,00", Negociação , Aguardando cliente ,Médio,50%,Retorno da Enel sobre Projeto. Cobrar semanalmente,,,15/07/2026,,,
12/05/2026,OPP-ALF-0526-006,ALFARODOBUS (Zona Leste),6,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,8,8,20/08/2026,14/09/2026,CIF,,,,5, R$  -   ,"R$ 1.200.000,00", Negociação ,Aguardando cliente,Baixo,100%,Cobrar retorno do cliente sobre cotação,,,15/07/2026,,,
03/04/2026,OPP-ARA-0426-007,ARACAJU,,Bruno Reis,Brasil,Sergipe,180kW DC Dual,Transporte Público,8,8,17/04/2026,17/04/2026,CIF,"$70.000,00","$560.000,00","$560.000,00",5," R$  560.000,00 "," R$  560.000,00 ", Ganho ,Ganho,Alto,100%,,,,15/07/2026,,,
03/04/2026,OPP-BEL-0426-008,BELÉM,,Bruno Reis,Brasil,Pará,180kW DC Dual,Transporte Público,12,,10/08/2026,15/01/2027,CIF,"$70.000,00","$840.000,00","$0,00",5, R$  -   ,R$ -, Lead , Parado ,Baixo,0%,Retornar em alguns meses,,,15/07/2026,,,
03/04/2026,OPP-PÊS-0426-009,PÊSSEGO,,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,16,,19/10/2026,23/11/2026,CIF,"$70.000,00","$1.120.000,00","$0,00",5, R$  -   ,R$ -, Lead , Parado ,Alto,0%,Retornar em alguns meses,,,15/07/2026,,,
03/04/2026,OPP-A2 -0426-010,A2 TRANSPORTES,,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,20,20,10/12/2026,23/11/2026,CIF,"$400.000,00","$8.000.000,00","$4.000.000,00",5," R$  20.000.000,00 "," R$  44.798.000,37 ", Negociação , Aguardando cliente ,Alto,50%,Solicitando acordo de última chamada pq eles estão com a WEG,,,15/07/2026,,,
03/04/2026,OPP-AMB-0426-011,AMBIENTAL (RV TRANS),,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,10,10,11/12/2026,23/11/2026,CIF,"$400.000,00","$4.000.000,00","$4.000.000,00",5," R$  20.000.000,00 ","R$ 20.000.000,00", Negociação , Parado ,Baixo,100%,Já enviamos proposta de Bess. Aguardando cliente retornar,,,15/07/2026,,,
03/04/2026,OPP-AUT-0426-012,AUTOBLESS,,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,5,,,,CIF,"$400.000,00","$2.000.000,00","$0,00",5,,, Proposta , Parado ,Alto,0%,Retornar em alguns meses,,,15/07/2026,,,
03/04/2026,OPP-KBP-0426-013,KBPX,,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,5,5,10/12/2026,23/11/2026,CIF,"$400.000,00","$2.000.000,00","$2.000.000,00",5," R$  10.000.000,00 ","R$ 10.000.000,00", Proposta ,Aguardando Engenharia,Baixo,100%,Proposta está com engenharia. Retornar daqui alguns meses,,,15/07/2026,,,
03/04/2026,OPP-KBP-0426-014,KBPX,,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,11,11,10/12/2026,23/11/2026,CIF,"$77.400,00","$851.400,00","$851.400,00",5," R$  4.257.000,00 ","R$ 4.257.000,00", Proposta ,Aguardando Engenharia,Baixo,100%,Proposta está com engenharia. Retornar daqui alguns meses,,,15/07/2026,,,
03/04/2026,OPP-NOR-0426-015,NORTEBUSS,,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,5,5,20/10/2026,30/07/2026,CIF,"$400.000,00","$2.000.000,00","$2.000.000,00",5," R$  10.000.000,00 ","R$ 10.000.000,00", Proposta ,Aguardando Engenharia,Baixo,100%,Vão para alta tensão e estamos aguardando proposta,,,15/07/2026,,,
03/04/2026,OPP-NOR-0426-016,NORTEBUSS,,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,11,11,20/10/2026,30/07/2026,CIF,"$77.400,00","$851.400,00","$851.400,00",5," R$  4.257.000,00 ","R$ 4.257.000,00", Proposta ,Aguardando Engenharia,Baixo,100%,Vão para alta tensão e estamos aguardando proposta,,,15/07/2026,,,
03/04/2026,OPP-SAM-0426-017,SAMBAÍBA,,Bruno Reis,Brasil,São Paulo,HPC,SP TRANS,3,,10/12/2026,30/07/2026,CIF,"$150.000,00","$450.000,00","$225.000,00",5," R$  1.125.000,00 ",R$ -, Negociação ,Aguardando Engenharia,Médio,50%,Aguardando time de engenharia,,,15/07/2026,,,
03/04/2026,OPP-SAM-0426-018,SAMBAÍBA G1,,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,20,,10/12/202610/12/2026,30/07/2026,CIF,"$400.000,00","$8.000.000,00","$4.000.000,00",5," R$  20.000.000,00 ",R$ -, Negociação ,Aguardando Engenharia,Médio,50%,Aguardando time de engenharia,,,15/07/2026,,,
13/04/2026,OPP-SAM-0426-019,SAMBAIBA G3,,Bruno Reis,Brasil,São Paulo,Alta tensão / HPC,SP TRANS,,,10/12/2026,31/07/2026,CIF,,,"$0,00",5, R$  -   ,, Negociação ,Aguardando Engenharia,Médio,50%,Aguardando time de engenharia,,,15/07/2026,,,
14/04/2026,OPP-SAM-0426-020,SAMBAIBA G4,,Bruno Reis,Brasil,São Paulo,Solar + Bess MWh,SP TRANS,5,,02/07/2026,01/08/2026,CIF,,,"$0,00",5, R$  -   ,, Negociação ,Aguardando Engenharia,Médio,50%,Aguardando time de engenharia,,,15/07/2026,,,
03/04/2026,OPP-TRA-0426-021,TRANSPASS (RV TRANS),,Bruno Reis,Brasil,São Paulo,Bess MWh,SP TRANS,10,,17/11/2026,30/07/2026,CIF,"$400.000,00","$4.000.000,00","$2.000.000,00",5," R$  10.000.000,00 ",R$ -,Negociação,Parado,Baixo,50%,,,,15/07/2026,,,
03/04/2026,OPP-MAC-0426-023,MACAÉ,10,Bruno Reis,Brasil,Rio de Janeiro,180kW DC Dual,Transporte Público,15,15,15/07/2026,14/08/2026,CIF,"$70.000,00","$1.050.000,00","$1.050.000,00",5," R$  5.250.000,00 ","R$ 5.250.000,00", Lead , Aguardando cliente ,Baixo,100%,Aguardando abertura do Lead,,,15/07/2026,,,
03/04/2026,OPP-DIA-0426-025,DIADEMA,,Bruno Reis,Brasil,São Paulo,DC 60 KW DUAL,CPO,30,30,15/10/2026,14/11/2026,CIF,"$5.800,00","$174.000,00","$87.000,00",5," R$  435.000,00 ","R$ 870.000,00", Lead ,Parado,Médio,50%,,,,15/07/2026,,,
03/04/2026,OPP-DIA-0426-026,DIADEMA,,Bruno Reis,Brasil,São Paulo,Bess 261kWh,BESS,10,10,15/10/2026,14/11/2026,CIF,"$70.000,00","$700.000,00","$350.000,00",5," R$  1.750.000,00 ","R$ 3.500.000,00", Lead ,Parado,Baixo,50%,Retonar em alguns meses,,,15/07/2026,,,
03/04/2026,OPP-Via-0426-024,Viação Metrópole M' Boi Mirim,9,Bruno Reis,Brasil,São Paulo,180kW/240kW DC Dual,SP TRANS,14,8,15/10/2026,14/11/2026,CIF,"$70.000,00","$1.120.000,00","$560.000,00",5," R$  2.800.000,00 ","R$ 2.800.000,00", Negociação ,Aguardando cliente,Baixo,50%,Aguardar retorno Julho,,,15/07/2026,,,
04/04/2026,OPP-VIA-0426-028,VIAÇÃO METRÓPOLE A E Carvalho (ZL),,Bruno Reis,Brasil,São Paulo,180kW/240kW DC Dual,SP TRANS,16,8,16/10/2026,15/11/2026,CIF,"$70.000,00","$1.120.000,00","$1.120.000,00",, R$  -   ,"R$ 2.800.000,00", Negociação ,Parado,Baixo,100%,Retornar em alguns meses,,,15/07/2026,,,
03/04/2026,OPP-TRA-0426-029,TRANSPASS (RV TRANS),,Bruno Reis,Brasil,São Paulo,320KW DC Dual,SP TRANS,4,4,30/10/2026,29/11/2026,CIF,"$97.400,00","$389.600,00","$194.800,00",5," R$  974.000,00 ",R$ -, Negociação ,Aguardando Engenharia,Médio,50%,Aguardando time de engenharia,,,15/07/2026,,,
03/04/2026,OPP-CAM-0426-030,CAMAÇARI,,Bruno Reis,Brasil,Bahia,180kW DC Dual,Transporte Público,15,,7/11/2026,7/12/2026,CIF,"$70.000,00","$1.050.000,00","$525.000,00",5," R$  2.625.000,00 ",R$ -, Lead ,Parado,Baixo,50%,Retornar em alguns meses,,,15/07/2026,,,
04/03/2026,OPP-MOV-0326-031,MOVEBUSS,,Bruno Reis,Brasil,São Paulo,180kW DC Dual,SP TRANS,15,15,20/5/2026,10/6/2026,CIF,"$70.000,00","$1.050.000,00","$1.050.000,00",," R$ 4.575.000,00 "," R$ 4.575.000,00 ", Perdido ,Perdido,Médio,100%,Aguardando decisão do cliente,Concorrência,,15/07/2026,,,
12/05/2026,OPP-MON-0526-032,MONTES CLAROS,2,Bruno Reis,Brasil,MInas Gerais,240kW DC Dual,Transporte Público,10,10,10/6/2026,15/6/2026,CIF,,,"$0,00",, R$  -   ,, Lead ,Aguardando cliente,Médio,100%,Aguardando a licitação,,,15/07/2026,,,
12/05/2026,OPP-GOV-0526-033,GOVER DE PERNAMBUCO,1,Bruno Reis,Brasil,Pernambuco,180kW DC Dual,Transporte Público,50,50,10/7/2026,25/6/2026,CIF,,,"$0,00",, R$  -   ,, Negociação ,Aguardando cliente,Médio,,Dia do Bid dia 26/06,,,15/07/2026,,,
02/01/2026,OPP-GOV-0526-034,SP TRANS,,Bruno Reis,Brasil,São Paulo,,,,,,,,,,,, R$  -   ,, Ganho ,Ganho,Alto,100%,,,,15/07/2026,,,
10/06/2026,OPP-GOV-0526-035,Governo do Mato Grosso,,Bruno Reis, Brasil ,Mato Grosso,180kW DC Dual / 240kW,Transporte Público,15,15,,2/2/2027,,,,,,,, Lead ,,,,,,,15/07/2026,,,
05/05/2026,OPP-GOV-0526-036,Expresso Ribeirão,4,Bruno Reis, Brasil ,São Paulo,180kW DC Dual,Transporte Público,2,2,,15/8/2026,,,,,," R$  119.729.000,00 ",,,,,,,,,15/07/2026,,,
11/06/2026,35,Gatusa,3,,,,,,6,6,,2/8/2026,,,,,,,,,,,,,,,15/07/2026,,,
15/05/2026,36,Maricá,,,,,,,15,15,,5/8/2026,,,,,,,,,,,,,,,15/07/2026,,,
,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,